"","Age","Height","Weight"
"602",19,164,55
"604",21,168,60
"605",21,170,53
"608",19,168,55
"612",18,168,57
"614",18,162,58
"615",22,164,64
"618",19,160,55
"619",23,173,65
"623",18,161,74
"625",21,173,62
"626",19,163,50
"627",22,162,60
"628",20,170,60
"630",20,163,48
"631",19,173,60
"632",18,154,67
"635",19,170,63
"636",25,173,63
"639",21,156,48
"641",21,173,53
"644",18,169,53
"645",18,165,55
"648",21,167,67
"649",23,158,64
"650",17,174,56
"654",22,165,52
"656",19,174,70
"657",18,159,52
"661",20,166,55
"662",19,165,70
"663",21,162,52
"665",28,168,55
"666",20,173,50
"667",20,164,60
"671",23,170,60
"672",22,165,57
"673",28,166,60
"674",22,170,52
"676",25,165,75
"677",20,62,55
"678",28,164,77
"679",23,162,65
"680",21,185,70
"681",25,160,55
"682",28,180,70
"684",30,179,80
"685",28,165,57
"686",19,163,53
"689",18,165,48
"692",17,168,70
"694",18,171,69
"696",23,167,70
"697",18,168,62
"698",20,168,76
"699",19,163,70
"700",20,170,50
"701",26,168,65
"702",21,175,70
"705",21,171,60
"706",22,172,60
"708",21,162,51
"710",17,167,70
"711",20,163,52
"712",22,170,55
"714",19,168,60
"715",25,164,63
"718",17,173,54
"719",17,171,57
"721",18,170,75
"722",20,174,60
"723",21,161,48
"724",18,175,58
"725",19,180,70
"729",18,180,75
"731",16,160,49
"732",18,163,57
"733",19,170,63
"734",24,166,55
"735",19,168,56
"736",NA,165,67
"737",20,166,60
"738",21,180,61
"742",18,173,65
"747",21,177,73
"748",18,170,75
"749",15,160,51
"751",22,175,86
"752",21,168,49
"753",21,162,51
"754",19,171,49
"756",26,172,80
"758",19,159,52
"761",25,167,49
"765",19,172,50
"767",25,167,60
"770",19,167,63
"771",16,170,54
"773",20,170,53
"774",17,168,70
"775",20,171,62
"776",19,165,51
"779",18,165,55
"780",17,167,48
"782",20,171,63
"783",17,170,55
"789",18,158,50
"792",19,162,52
"796",30,173,69
"799",18,160,55
"802",30,173,72
"803",19,172,60
"804",27,173,79
"805",21,173,62
"806",17,165,53
"813",17,175,60
"815",20,165,53
"820",17,160,48
"821",18,162,55
"823",19,175,60
"825",29,170,58
"826",21,170,55
"827",20,158,55
"828",20,168,55
"830",20,162,50
"831",21,168,70
"832",17,170,50
"833",20,165,57
"839",21,170,58
"840",23,163,68
"841",24,169,53
"844",20,177,70
"846",20,165,56
"847",23,171,54
"848",19,170,51
"850",22,174,61
"851",17,175,68
"854",30,175,68
"857",17,156,51
"862",18,172,55
"866",17,182,79
"868",25,172,56
"870",18,170,54
"871",25,168,63
"875",18,162,54
"881",18,162,54
"882",18,170,54
"883",16,168,54
"884",19,168,57
"885",19,175,58
"889",20,175,58
"894",17,165,58
"895",19,158,45
"899",28,172,54
"902",22,173,50
"905",24,160,55
"907",21,164,52
"908",22,167,50
"910",28,166,58
"911",18,165,48
"912",23,174,69
"913",22,162,55
"914",21,164,52
"915",20,171,57
"916",18,170,65
"919",21,159,52
"920",21,165,50
"921",20,165,54
"923",20,175,67
"924",23,163,59
"925",19,155,50
"926",20,170,63
"928",19,163,56
"929",19,153,44
"930",27,173,58
"931",18,165,45
"933",20,155,45
"934",17,170,50
"936",16,164,60
"937",21,171,66
"938",18,167,62
"939",19,166,63
"942",18,172,55
"944",22,182,83
"945",19,162,47
"948",16,180,55
"949",18,170,75
"950",18,164,56
"954",20,165,57
"955",20,175,62
"956",19,166,51
"959",22,169,59
"960",24,176,48
"963",21,167,56
"966",17,170,65
"967",19,170,55
"973",19,178,88
"974",20,175,120
"975",21,183,73
"976",23,175,85
"977",19,172,62
"979",21,165,60
"981",18,166,53
"982",19,168,57
"984",22,172,60
"985",21,165,55
"986",20,167,53
"987",19,161,60
"990",30,168,54
"994",21,173,55
"995",20,176,78
"996",18,163,53
"998",19,167,53
"1001",16,153,62
"1002",18,160,63
"1004",20,172,63
"1006",20,164,57
"1008",18,173,75
"1009",25,173,58
