"","Age","Height","Weight"
"189",19,66.9291338582677,121.2541
"190",17,65.3543307086614,119.04948
"191",16,62.2047244094488,105.82176
"192",29,62.992125984252,147.70954
"193",18,62.2047244094488,143.3003
"197",20,66.5354330708661,141.09568
"198",22,62.992125984252,103.61714
"204",19,64.1732283464567,110.231
"205",24,66.5354330708661,112.43562
"206",19,62.992125984252,116.84486
"208",20,66.9291338582677,136.68644
"209",19,66.9291338582677,132.2772
"212",21,69.2913385826772,121.2541
"214",20,66.1417322834646,152.11878
"215",18,68.1102362204724,121.2541
"217",17,64.1732283464567,149.91416
"218",19,70.0787401574803,132.2772
"223",24,60.2362204724409,92.59404
"224",20,66.1417322834646,112.43562
"228",19,66.1417322834646,149.91416
"229",20,61.8110236220472,105.82176
"231",19,68.1102362204724,138.89106
"232",19,67.3228346456693,121.2541
"233",19,66.1417322834646,132.2772
"234",18,64.9606299212598,105.82176
"235",18,66.1417322834646,143.3003
"236",16,68.503937007874,141.09568
"237",19,67.3228346456693,125.66334
"238",18,68.1102362204724,141.09568
"239",19,61.8110236220472,105.82176
"240",21,68.1102362204724,130.07258
"242",18,70.8661417322835,132.2772
"243",21,68.8976377952756,138.89106
"244",17,70.0787401574803,154.3234
"245",20,62.992125984252,101.41252
"246",19,67.7165354330709,132.2772
"248",22,64.9606299212598,149.91416
"249",19,62.992125984252,121.2541
"250",19,64.9606299212598,121.2541
"251",20,69.2913385826772,138.89106
"252",19,64.5669291338583,132.2772
"253",20,61.0236220472441,97.00328
"254",17,65.748031496063,125.66334
"255",23,67.3228346456693,130.07258
"256",20,62.2047244094488,110.231
"257",20,66.9291338582677,132.2772
"259",20,71.6535433070866,138.89106
"262",18,66.9291338582677,110.231
"263",19,64.9606299212598,121.2541
"264",15,69.2913385826772,116.84486
"265",19,65.748031496063,119.04948
"266",15,66.9291338582677,108.02638
"267",19,66.1417322834646,158.73264
"268",21,64.1732283464567,108.02638
"269",19,59.8425196850394,103.61714
"270",17,62.2047244094488,125.66334
"271",23,64.9606299212598,154.3234
"273",19,66.9291338582677,121.2541
"274",19,70.0787401574803,147.70954
"275",22,66.9291338582677,132.2772
"276",20,66.9291338582677,154.3234
"280",20,63.3858267716535,116.84486
"281",18,70.0787401574803,152.11878
"283",20,64.9606299212598,110.231
"286",20,66.1417322834646,121.2541
"287",27,66.1417322834646,121.2541
"288",19,70.8661417322835,125.66334
"291",20,68.1102362204724,127.86796
"293",21,72.4409448818898,264.5544
"294",16,65.748031496063,136.68644
"295",19,69.6850393700787,138.89106
"296",18,65.748031496063,125.66334
"299",19,64.1732283464567,112.43562
"300",22,68.1102362204724,114.64024
"301",18,64.9606299212598,143.3003
"303",19,70.0787401574803,127.86796
"304",25,65.748031496063,167.55112
"305",18,62.992125984252,116.84486
"306",20,66.5354330708661,141.09568
